Title,Body,Labels,Milestone
"US-01 – Project scaffolding (Maven JAR)","## User Story
As a developer
I want a Maven project that builds a self-contained executable JAR
So that the application can be run and deployed easily.

## Acceptance Criteria
- [ ] Maven pom.xml configured for Java 17
- [ ] `mvn clean package` produces a fat JAR
- [ ] Main class runs and prints a simple message

## Notes
Part of Epic 1: Project Infrastructure & DevOps Setup","type:user-story,area:setup,priority:high",Sprint 1
"US-02 – Dockerfile","## User Story
As a developer
I want a working Dockerfile
So that the application can be containerised.

## Acceptance Criteria
- [ ] Dockerfile builds successfully
- [ ] Container runs the JAR
- [ ] Database connection works from inside the container (or clear instructions)

## Notes
Part of Epic 1","type:user-story,area:ci-cd,priority:high",Sprint 1
"US-03 – GitFlow branches","## User Story
As a developer
I want the correct GitFlow branches
So that the repository follows the module standard.

## Acceptance Criteria
- [ ] master, develop, and release branches exist
- [ ] Default branch policy documented

## Notes
Part of Epic 1","type:chore,area:setup,priority:high",Sprint 1
"US-04 – GitHub Actions CI","## User Story
As a developer
I want GitHub Actions that build the JAR and Docker image
So that every push is automatically verified.

## Acceptance Criteria
- [ ] Workflow runs on push to master and develop
- [ ] Builds the Maven JAR
- [ ] Builds and (optionally) pushes the Docker image
- [ ] Status badges appear in README

## Notes
Part of Epic 1","type:user-story,area:ci-cd,priority:high",Sprint 1
"US-05 – Release & Code of Conduct","## User Story
As a developer
I want a GitHub Release and a Code of Conduct
So that the project meets the checklist criteria.

## Acceptance Criteria
- [ ] At least one Release created on GitHub
- [ ] CODE_OF_CONDUCT.md present
- [ ] License (Apache-2.0 recommended) present

## Notes
Part of Epic 1","type:chore,area:docs,priority:medium",Sprint 1
"US-06 – Connect to World database","## User Story
As a developer
I want the application to connect to the MySQL world database
So that reports can be generated from real data.

## Acceptance Criteria
- [ ] Connection string configurable (env vars or properties)
- [ ] Connection tested successfully
- [ ] Graceful error handling if database is unavailable

## Notes
Database: https://downloads.mysql.com/docs/world-db.zip
Part of Epic 2","type:user-story,area:setup,priority:high",Sprint 1
"US-07 – All countries by population (desc) [Req 1]","## User Story
As a user
I want to see all countries ordered by largest population to smallest
So that I can understand global population ranking.

## Acceptance Criteria
- [ ] Report shows: Code, Name, Continent, Region, Population, Capital
- [ ] Ordered by Population DESC
- [ ] Output is clear (console or file)

## Requirement ID
1

## Notes
Part of Epic 2 – Core Reports","type:user-story,area:reports,priority:high",Sprint 2
"US-08 – All cities by population (desc) [Req 2]","## User Story
As a user
I want to see all cities ordered by largest population to smallest
So that I can identify the biggest cities.

## Acceptance Criteria
- [ ] Report shows: Name, Country, District, Population
- [ ] Ordered by Population DESC

## Requirement ID
2

## Notes
Part of Epic 2","type:user-story,area:reports,priority:high",Sprint 2
"US-09 – All capital cities by population (desc) [Req 3]","## User Story
As a user
I want to see all capital cities ordered by largest population to smallest
So that I can compare capital city sizes.

## Acceptance Criteria
- [ ] Report shows: Name, Country, Population
- [ ] Only capital cities included
- [ ] Ordered by Population DESC

## Requirement ID
3

## Notes
Part of Epic 2","type:user-story,area:reports,priority:high",Sprint 2
"US-10 – Top N populated cities (user provides N) [Req 4]","## User Story
As a user
I want to request the top N most populated cities
So that I can focus on the largest cities only.

## Acceptance Criteria
- [ ] User can supply N (command-line argument or interactive input)
- [ ] Report shows top N cities with required columns
- [ ] Handles invalid N gracefully

## Requirement ID
4

## Notes
Part of Epic 2","type:user-story,area:reports,priority:high",Sprint 2
"US-11 – Population living / not living in cities per country [Req 5]","## User Story
As a user
I want the population breakdown (total, in cities, not in cities) for each country
So that I can see urbanisation levels.

## Acceptance Criteria
- [ ] Shows country name, total population, city population + %, non-city population + %
- [ ] Calculations are correct

## Requirement ID
5

## Notes
Part of Epic 2","type:user-story,area:reports,priority:high",Sprint 2
"US-12 – Simple population lookups","## User Story
As a user
I want to query the population of the world, a continent, a region, a country, a district, or a city
So that I can get quick totals.

## Acceptance Criteria
- [ ] World population
- [ ] Continent population
- [ ] Region population
- [ ] Country population
- [ ] District population
- [ ] City population
- [ ] Clear output for each

## Notes
Part of Epic 3","type:user-story,area:reports,priority:medium",Sprint 3
"US-13 – Language speakers (Chinese, English, Spanish)","## User Story
As a user
I want the number of speakers of Chinese, English and Spanish ordered from greatest to smallest, including percentage of world population
So that I can compare major languages.

## Acceptance Criteria
- [ ] Only the three languages requested
- [ ] Ordered by number of speakers DESC
- [ ] Percentage of world population shown
- [ ] Correct aggregation from countrylanguage table

## Notes
Part of Epic 3","type:user-story,area:reports,priority:medium",Sprint 3
"US-14 – Unit tests","## User Story
As a developer
I want suitable unit tests
So that individual components are verified.

## Acceptance Criteria
- [ ] Unit tests for key report methods / calculators
- [ ] Tests run with Maven (mvn test)
- [ ] Reasonable coverage

## Notes
Part of Epic 4 – Testing & Quality","type:user-story,area:testing,priority:high",Sprint 3
"US-15 – Integration tests","## User Story
As a developer
I want integration tests against the database
So that end-to-end report generation is verified.

## Acceptance Criteria
- [ ] Tests that actually query the database (or a test container)
- [ ] Tests run in GitHub Actions
- [ ] Failures are visible in CI

## Notes
Part of Epic 4","type:user-story,area:testing,priority:high",Sprint 3
"US-16 – README with requirements table","## User Story
As a marker
I want a clear README that states how many of the 8 requirements are met and shows evidence
So that I can assess the submission quickly.

## Acceptance Criteria
- [ ] Statement: “X requirements of 8 have been implemented, which is Y%”
- [ ] Markdown table with columns: ID | Name | Met | Screenshot
- [ ] Screenshots embedded or linked for every “Yes”
- [ ] Correct badges (build status master/develop, coverage, release, license)

## Notes
Part of Epic 5 – Documentation & Final Deliverable
Critical for the final 10% delivery mark","type:user-story,area:docs,priority:high",Sprint 3
"US-17 – Use cases & diagram","## User Story
As a developer
I want full use cases and a use-case diagram
So that the requirements analysis is complete.

## Acceptance Criteria
- [ ] Use cases written for the main reports
- [ ] Use-case diagram created (PlantUML, draw.io, or similar) and committed

## Notes
Part of Epic 5","type:user-story,area:docs,priority:medium",Sprint 3
